Topic:home/light | QOS:1 | Message:b'off'
Topic:$SYS/broker/load/sockets/5min | QOS:0 | Message:b'0.36'
Topic:$SYS/broker/load/messages/sent/15min | QOS:0 | Message:b'12.23'
Topic:$SYS/broker/load/publish/sent/15min | QOS:0 | Message:b'11.73'
Topic:$SYS/broker/load/bytes/received/15min | QOS:0 | Message:b'7.52'
Topic:$SYS/broker/load/bytes/sent/15min | QOS:0 | Message:b'468.68'
Topic:$SYS/broker/heap/current | QOS:0 | Message:b'28044'
Topic:$SYS/broker/messages/sent | QOS:0 | Message:b'191'
Topic:$SYS/broker/publish/messages/sent | QOS:0 | Message:b'182'
Topic:$SYS/broker/bytes/sent | QOS:0 | Message:b'7275'
Topic:$SYS/broker/publish/bytes/sent | QOS:0 | Message:b'731'
